date,city,price,state
1987-01-01,AZ-Phoenix,,AZ
1987-01-01,CA-Los Angeles,59.33,CA
1987-01-01,CA-San Diego,54.67,CA
1987-01-01,CA-San Francisco,46.61,CA
1987-01-01,CO-Denver,50.2,CO
1987-01-01,DC-Washington,64.11,DC
1987-01-01,FL-Miami,68.5,FL
1987-01-01,FL-Tampa,77.33,FL
1987-01-01,GA-Atlanta,,GA
1987-01-01,IL-Chicago,53.55,IL
1987-01-01,MA-Boston,70.04,MA
1987-01-01,MI-Detroit,,MI
1987-01-01,MN-Minneapolis,,MN
1987-01-01,NC-Charlotte,63.39,NC
1987-01-01,NV-Las Vegas,66.36,NV
1987-01-01,NY-New York,74.42,NY
1987-01-01,OH-Cleveland,53.53,OH
1987-01-01,OR-Portland,41.05,OR
1987-01-01,TX-Dallas,,TX
1987-01-01,WA-Seattle,,WA
1987-01-01,Composite-10,62.82,Composite
1987-01-01,Composite-20,,Composite
1987-01-01,National-US,63.75,National
1987-02-01,AZ-Phoenix,,AZ
1987-02-01,CA-Los Angeles,59.65,CA
1987-02-01,CA-San Diego,54.89,CA
1987-02-01,CA-San Francisco,46.87,CA
1987-02-01,CO-Denver,49.96,CO
1987-02-01,DC-Washington,64.77,DC
1987-02-01,FL-Miami,68.76,FL
1987-02-01,FL-Tampa,77.93,FL
1987-02-01,GA-Atlanta,,GA
1987-02-01,IL-Chicago,54.64,IL
1987-02-01,MA-Boston,70.08,MA
1987-02-01,MI-Detroit,,MI
1987-02-01,MN-Minneapolis,,MN
1987-02-01,NC-Charlotte,63.94,NC
1987-02-01,NV-Las Vegas,67.03,NV
1987-02-01,NY-New York,75.43,NY
1987-02-01,OH-Cleveland,53.5,OH
1987-02-01,OR-Portland,41.28,OR
1987-02-01,TX-Dallas,,TX
1987-02-01,WA-Seattle,,WA
1987-02-01,Composite-10,63.39,Composite
1987-02-01,Composite-20,,Composite
1987-02-01,National-US,64.15,National
1987-03-01,AZ-Phoenix,,AZ
1987-03-01,CA-Los Angeles,59.99,CA
1987-03-01,CA-San Diego,55.16,CA
1987-03-01,CA-San Francisco,47.32,CA
1987-03-01,CO-Denver,50.15,CO
1987-03-01,DC-Washington,65.71,DC
1987-03-01,FL-Miami,69.23,FL
1987-03-01,FL-Tampa,77.76,FL
1987-03-01,GA-Atlanta,,GA
1987-03-01,IL-Chicago,54.8,IL
1987-03-01,MA-Boston,70.0,MA
1987-03-01,MI-Detroit,,MI
1987-03-01,MN-Minneapolis,,MN
1987-03-01,NC-Charlotte,64.17,NC
1987-03-01,NV-Las Vegas,67.34,NV
1987-03-01,NY-New York,76.25,NY
1987-03-01,OH-Cleveland,53.68,OH
1987-03-01,OR-Portland,41.06,OR
