year,title,genre,avg_vote
2005,Graves End,"Thriller, Mystery",8.9
2005,Athadu,"Action, Thriller",8.3
2005,Babam ve Oglum,"Drama, Family",8.3
2005,Thanmathra,Drama,8.3
2005,Batman Begins,"Action, Adventure",8.2
2005,Black,Drama,8.2
2005,Anniyan,"Action, Drama, Thriller",8.2
2005,Pardon,"Comedy, Drama",8.2
2005,V for Vendetta,"Action, Drama, Sci-Fi",8.2
2005,Iqbal,"Drama, Sport",8.1
2005,Maha'lai muang rae,"Biography, Comedy, Drama",8.1
2005,Dombivli Fast,"Drama, Thriller",8.1
2005,Cinderella Man,"Biography, Drama, History",8.0
2005,Sin City,"Crime, Thriller",8.0
2005,Anukokunda Oka Roju,"Mystery, Thriller",8.0
2005,Haajar Bachhar Dhorey,"Comedy, Drama, Family",8.0
2005,Paskutiniai Bremeno muzikantai,Musical,8.0
2005,"Va, vis et deviens",Drama,7.9
2005,C.R.A.Z.Y.,"Comedy, Drama",7.9
2005,Udayananu Tharam,Comedy,7.9
2005,Moartea domnului Lãzãrescu,"Comedy, Drama",7.9
2005,Gaseirneba Karabaghshi,"Action, Adventure, Drama",7.9
2005,Pheuan sanit,"Drama, Romance",7.9
2005,Ichi ritoru no namida,Drama,7.9
2005,Walk the Line,"Biography, Drama, Music",7.8
2005,Serenity,"Action, Adventure, Sci-Fi",7.8
2005,The World's Fastest Indian,"Biography, Drama, Sport",7.8
2005,Pride & Prejudice,"Drama, Romance",7.8
2005,Adams æbler,"Comedy, Crime, Drama",7.8
2005,Gönül Yarasi,Drama,7.8
2005,Joseph Smith: Prophet of the Restoration,"Biography, Drama, History",7.8
2005,Raam,"Action, Drama, Mystery",7.8
2005,Dievu miskas,"Biography, Drama, War",7.8
2005,Sehar,"Action, Crime, Drama",7.8
2005,Thavamai Thavamiruntu,Drama,7.8
2005,Water,Drama,7.7
2005,Harry Potter and the Goblet of Fire,"Adventure, Family, Fantasy",7.7
2005,Bal-Can-Can,"Action, Adventure, Comedy",7.7
2005,Brokeback Mountain,"Drama, Romance",7.7
2005,Shooting Dogs,"Drama, History, War",7.7
2005,Joyeux Noël,"Drama, History, Music",7.7
2005,Parzania,"Drama, History",7.7
2005,Maraton,"Biography, Drama, Sport",7.7
2005,El violín,"Drama, Music",7.7
2005,Nuvvostanante Nenoddantana,Romance,7.7
2005,Unmei janai hito,"Comedy, Drama, Romance",7.7
2005,Welkkeom tu Dongmakgol,"Comedy, Drama, War",7.7
2005,Rajamanikyam,"Action, Comedy",7.7
2005,Always san-chôme no yûhi,"Drama, Family",7.7
2005,Rama Shama Bhama,Comedy,7.7
2005,Äideistä parhain,"Drama, War",7.6
2005,Bab'Aziz,Drama,7.6
2005,Lord of War,"Action, Crime, Drama",7.6
2005,Match Point,"Drama, Romance, Thriller",7.6
2005,Mrs. Palfrey at the Claremont,"Comedy, Drama",7.6
2005,Sophie Scholl - Die letzten Tage,"Biography, Crime, Drama",7.6
2005,Thank You for Smoking,"Comedy, Drama",7.6
2005,Sarkar,"Action, Crime, Drama",7.6
2005,Die Höhle des gelben Hundes,"Drama, Family",7.6
2005,Janji Joni,"Adventure, Comedy, Romance",7.6
2005,Kong que,Drama,7.6
2005,Chinjeolhan geumjassi,"Crime, Drama, Thriller",7.6
2005,Elsa y Fred,"Comedy, Drama, Romance",7.6
