year,title,genre,avg_vote,movie_rating,duration,watchability
2008,The Dark Knight,"Action, Crime, Drama",9.0,great,152,long movie
2005,Graves End,"Thriller, Mystery",8.9,good,90,average length movie
2010,Inception,"Action, Adventure, Sci-Fi",8.8,good,148,long movie
2010,Les Misérables in Concert: The 25th Anniversary,"Drama, Music, Musical",8.8,good,178,long movie
2010,The Clock,Drama,8.8,good,3360,epic movie
2010,Aaranya Kaandam,"Action, Crime, Thriller",8.6,good,153,long movie
2009,Monpura,"Crime, Drama, Musical",8.6,good,136,long movie
2010,Doraleous and Associates,Animation,8.6,good,100,long movie
2006,The Departed,"Crime, Drama, Thriller",8.5,good,151,long movie
2006,The Prestige,"Drama, Mystery, Sci-Fi",8.5,good,130,long movie
2008,Rush: Snakes & Arrows - Live in Holland,Music,8.5,good,221,epic movie
2006,The Lives of Others,"Drama, Thriller",8.4,good,137,long movie
2006,Pudhu Pettai,"Action, Crime, Drama",8.4,good,168,long movie
2008,WALL·E,"Animation, Adventure, Fami",8.4,good,98,average length movie
2007,Taare Zameen Par,"Drama, Family",8.4,good,165,long movie
2007,Khuda Kay Liye,Drama,8.4,good,168,long movie
2009,3 Idiots,"Comedy, Drama",8.4,good,170,long movie
2008,Fortified,"Action, Thriller",8.4,good,47,short movie
2007,Kattradhu Thamizh,"Drama, Mystery",8.4,good,147,long movie
2009,Harishchandrachi Factory,"Biography, Comedy, Drama",8.4,good,96,average length movie
2010,Natarang,Drama,8.4,good,127,long movie
2010,Prasthanam,"Action, Drama",8.4,good,153,long movie
2010,Guilt & Sentence,"Drama, Mystery, Thriller",8.4,good,93,average length movie
2010,Bad Hero,"Comedy, Crime, Drama",8.4,good,73,average length movie
2009,Inglourious Basterds,"Adventure, Drama, War",8.3,good,153,long movie
2010,Toy Story 3,"Animation, Adventure, Come",8.3,good,103,long movie
2006,Khosla Ka Ghosla!,"Comedy, Crime, Drama",8.3,good,135,long movie
2005,Athadu,"Action, Thriller",8.3,good,172,long movie
2005,Babam ve Oglum,"Drama, Family",8.3,good,108,long movie
2005,Thanmathra,Drama,8.3,good,160,long movie
2007,Hadersfild,Drama,8.3,good,95,average length movie
2006,Mungaru Male,"Comedy, Music, Romance",8.3,good,143,long movie
2010,Incendies,"Drama, Mystery, War",8.3,good,131,long movie
2008,Gamyam,Drama,8.3,good,120,long movie
2009,Jogwa,Drama,8.3,good,114,long movie
2010,Pranchiyettan and the Saint,"Comedy, Drama",8.3,good,140,long movie
2005,Batman Begins,"Action, Adventure",8.2,good,140,long movie
2005,Black,Drama,8.2,good,122,long movie
2005,Anniyan,"Action, Drama, Thriller",8.2,good,181,epic movie
2006,Rang De Basanti,"Comedy, Drama",8.2,good,167,long movie
2005,Pardon,"Comedy, Drama",8.2,good,94,average length movie
2005,V for Vendetta,"Action, Drama, Sci-Fi",8.2,good,132,long movie
2006,Pan's Labyrinth,"Drama, Fantasy, War",8.2,good,118,long movie
2006,Bondage,"Biography, Drama",8.2,good,100,long movie
2006,Bommarillu,"Comedy, Drama, Romance",8.2,good,170,long movie
2007,Chak De! India,"Drama, Family, Sport",8.2,good,153,long movie
2009,Up,"Animation, Adventure, Come",8.2,good,96,average length movie
2009,El secreto de sus ojos,"Drama, Mystery, Romance",8.2,good,129,long movie
2010,"Montevideo, Bog te video!","Adventure, Comedy, Drama",8.2,good,140,long movie
2010,Udaan,Drama,8.2,good,134,long movie
2010,Stapki v pyasaka,"Comedy, Drama",8.2,good,89,average length movie
2010,Who Killed Captain Alex?,"Action, Crime, Mystery",8.2,good,64,average length movie
2010,Runway,Drama,8.2,good,90,average length movie
2010,Mr. Plinkett's Star Trek 2009 Review,Comedy,8.2,good,67,average length movie
2005,Iqbal,"Drama, Sport",8.1,good,132,long movie
2005,Maha'lai muang rae,"Biography, Comedy, Drama",8.1,good,111,long movie
2006,Lage Raho Munna Bhai,"Comedy, Drama, Romance",8.1,good,144,long movie
2007,Paruthiveeran,"Action, Drama, Romance",8.1,good,162,long movie
2007,There Will Be Blood,Drama,8.1,good,158,long movie
2007,No Country for Old Men,"Crime, Drama, Thriller",8.1,good,122,long movie
2006,Omkara,"Action, Crime, Drama",8.1,good,155,long movie
2007,Into the Wild,"Adventure, Biography, Dram",8.1,good,148,long movie
2005,Dombivli Fast,"Drama, Thriller",8.1,good,108,long movie
2007,Restul e tacere,"Comedy, Drama",8.1,good,114,long movie
2007,Tropa de Elite,"Action, Crime, Drama",8.1,good,115,long movie
2006,Classmates,"Drama, Mystery, Romance",8.1,good,175,long movie
2010,How to Train Your Dragon,"Animation, Action, Adventu",8.1,good,98,average length movie
2009,Mary and Max,"Animation, Comedy, Drama",8.1,good,92,average length movie
2009,Hachi: A Dog's Tale,"Drama, Family",8.1,good,93,average length movie
2008,Okuribito,"Drama, Music",8.1,good,130,long movie
2008,Ai no mukidashi,"Action, Comedy, Drama",8.1,good,237,epic movie
2010,Shutter Island,"Mystery, Thriller",8.1,good,138,long movie
2008,Gran Torino,Drama,8.1,good,116,long movie
2009,Gulaal,"Crime, Drama, Thriller",8.1,good,140,long movie
2008,A Wednesday,"Crime, Drama, Mystery",8.1,good,104,long movie
2008,Kanchivaram,Drama,8.1,good,117,long movie
2008,Manjadikuru,"Drama, Family",8.1,good,120,long movie
2009,Kimssi pyoryugi,"Drama, Romance",8.1,good,116,long movie
2010,Suzumiya Haruhi no shôshitsu,"Animation, Comedy, Drama",8.1,good,163,long movie
2010,Vedam,"Action, Drama",8.1,good,135,long movie
2010,Super,Drama,8.1,good,140,long movie
2008,Anjathe,"Action, Drama, Thriller",8.1,good,185,epic movie
2005,Cinderella Man,"Biography, Drama, History",8.0,good,144,long movie
2006,Casino Royale,"Action, Adventure, Thrille",8.0,good,144,long movie
2007,Ratatouille,"Animation, Adventure, Come",8.0,good,111,long movie
2007,Le scaphandre et le papillon,"Biography, Drama",8.0,good,112,long movie
2005,Sin City,"Crime, Thriller",8.0,good,124,long movie
2007,The Bourne Ultimatum,"Action, Mystery, Thriller",8.0,good,115,long movie
2006,Blood Diamond,"Adventure, Drama, Thriller",8.0,good,143,long movie
2006,The Pursuit of Happyness,"Biography, Drama",8.0,good,117,long movie
2005,Anukokunda Oka Roju,"Mystery, Thriller",8.0,good,145,long movie
2007,Persepolis,"Animation, Biography, Dram",8.0,good,96,average length movie
2006,Dor,Drama,8.0,good,147,long movie
2009,Evangerion shin gekijôban: Ha,"Animation, Action, Drama",8.0,good,112,long movie
2010,Black Swan,"Drama, Thriller",8.0,good,108,long movie
2008,Slumdog Millionaire,"Drama, Romance",8.0,good,120,long movie
2007,Mozhi,"Comedy, Musical, Romance",8.0,good,155,long movie
2007,Dharm,"Drama, History",8.0,good,105,long movie
2008,Aruitemo aruitemo,Drama,8.0,good,115,long movie
2009,Nefes: Vatan Sagolsun,"Action, Drama, Thriller",8.0,good,128,long movie
2008,Svetat e golyam i spasenie debne otvsyakade,Drama,8.0,good,105,long movie
2008,Vaaranam Aayiram,"Drama, Musical, Romance",8.0,good,169,long movie
2010,My Name Is Khan,Drama,8.0,good,165,long movie
2008,Yip Man,"Action, Biography, Drama",8.0,good,106,long movie
2008,Historias extraordinarias,"Drama, Mystery",8.0,good,245,epic movie
2008,Kôkaku kidôtai 2.0,"Animation, Action, Crime",8.0,good,83,average length movie
2008,The Stoning of Soraya M.,Drama,8.0,good,114,long movie
2008,Devrim Arabalari,Drama,8.0,good,115,long movie
2008,Aasef ala el-iz'ag,"Comedy, Drama, Mystery",8.0,good,116,long movie
2009,Dev.D,"Comedy, Drama, Romance",8.0,good,144,long movie
2009,Darbareye Elly,"Drama, Mystery, Thriller",8.0,good,119,long movie
2009,Unnaipol Oruvan,"Crime, Drama, Mystery",8.0,good,106,long movie
2009,Gekijô ban Tengen toppa guren ragan: Ragan hen,"Animation, Drama",8.0,good,126,long movie
2009,Thanks Maa,"Crime, Drama",8.0,good,120,long movie
2010,The King's Speech,"Biography, Drama, History",8.0,good,118,long movie
2010,Tropa de Elite 2: O Inimigo Agora é Outro,"Action, Crime, Drama",8.0,good,115,long movie
2010,Vinnaithaandi Varuvaayaa,"Drama, Romance",8.0,good,157,long movie
2010,Leader,Drama,8.0,good,167,long movie
2010,I Am Kalam,"Comedy, Drama, Family",8.0,good,88,average length movie
2005,Haajar Bachhar Dhorey,"Comedy, Drama, Family",8.0,good,137,long movie
2008,Subramaniapuram,"Action, Drama, Thriller",8.0,good,145,long movie
2005,Paskutiniai Bremeno muzikantai,Musical,8.0,good,90,average length movie
2006,Mata,Comedy,8.0,good,143,long movie
2007,Mad_e in Bangladesh,"Comedy, Drama",8.0,good,106,long movie
2006,Children of Men,"Drama, Thriller",7.9,good,109,long movie
2008,Iron Man,"Action, Adventure, Sci-Fi",7.9,good,126,long movie
2005,"Va, vis et deviens",Drama,7.9,good,140,long movie
2005,C.R.A.Z.Y.,"Comedy, Drama",7.9,good,127,long movie
2005,Udayananu Tharam,Comedy,7.9,good,162,long movie
2006,Vettaiyaadu Vilaiyaadu,"Action, Crime, Thriller",7.9,good,174,long movie
2005,Moartea domnului Lãzãrescu,"Comedy, Drama",7.9,good,153,long movie
2006,The Fall,"Adventure, Drama, Fantasy",7.9,good,117,long movie
2007,Klopka,"Crime, Drama, Thriller",7.9,good,106,long movie
2005,Gaseirneba Karabaghshi,"Action, Adventure, Drama",7.9,good,105,long movie
2005,Pheuan sanit,"Drama, Romance",7.9,good,90,average length movie
2006,Gamers,Comedy,7.9,good,84,average length movie
2005,Ichi ritoru no namida,Drama,7.9,good,98,average length movie
2006,Letters from Iwo Jima,"Action, Adventure, Drama",7.9,good,141,long movie
2007,The Man from Earth,"Drama, Fantasy, Sci-Fi",7.9,good,87,average length movie
2006,Kiraware Matsuko no isshô,"Comedy, Drama, Musical",7.9,good,130,long movie
2008,In Bruges,"Comedy, Crime, Drama",7.9,good,107,long movie
2009,Star Trek,"Action, Adventure, Sci-Fi",7.9,good,127,long movie
2006,Marilena de la P7,"Drama, Fantasy",7.9,good,48,short movie
2006,Pokiri,"Action, Thriller",7.9,good,164,long movie
2006,Ostrov,Drama,7.9,good,112,long movie
2006,Kader,Drama,7.9,good,103,long movie
2007,Kayyoppu,Drama,7.9,good,95,average length movie
2007,1971,"Action, Drama, War",7.9,good,160,long movie
2007,Klass,Drama,7.9,good,99,average length movie
2008,Avaze gonjeshk-ha,"Drama, Family",7.9,good,96,average length movie
2007,"4 luni, 3 saptamâni si 2 zile",Drama,7.9,good,113,long movie
2007,Jab We Met,"Comedy, Drama, Romance",7.9,good,138,long movie
2008,The Wrestler,"Drama, Sport",7.9,good,109,long movie
2009,District 9,"Action, Sci-Fi, Thriller",7.9,good,112,long movie
2008,Låt den rätte komma in,"Drama, Horror, Romance",7.9,good,114,long movie
2009,Moon,"Drama, Mystery, Sci-Fi",7.9,good,97,average length movie
2008,Chugyeogja,"Action, Crime, Thriller",7.9,good,125,long movie
2008,Nunta muta,"Comedy, Drama, History",7.9,good,87,average length movie
2007,Happy Days,Drama,7.9,good,153,long movie
2009,Un prophète,"Crime, Drama",7.9,good,155,long movie
2008,"Live Fast, Die Young",Drama,7.9,good,101,long movie
2008,Gekijô ban Kara no kyôkai: Dai go shô - Mujun rasen,"Animation, Action, Crime",7.9,good,114,long movie
