year,movie_count,avg_movie_duration,avg_rating,votes,year_rating
1906,1,70.0,6.1,537,good movie year
1911,4,75.25,6.3,171,good movie year
1912,5,76.0,6.02,420,good movie year
1913,13,84.3846,6.58462,241,good movie year
1914,21,75.9524,6.23333,112,good movie year
1915,21,86.7619,6.41905,357,good movie year
1916,33,75.3333,6.38788,242,good movie year
1917,23,68.2174,6.32174,535,good movie year
1918,23,92.7391,6.21739,552,good movie year
1919,47,83.9149,6.43404,709,good movie year
1920,46,80.2174,6.37826,51644,good movie year
1921,45,88.2,6.74889,296,good movie year
1922,41,92.5366,6.52683,706,good movie year
1923,35,102.3714,6.8,270,good movie year
1924,48,98.0625,6.86875,145,good movie year
1925,68,86.7794,6.65294,510,good movie year
1926,72,90.4861,6.75833,4872,good movie year
1927,75,89.9333,6.64933,118,good movie year
1928,84,89.2143,6.82619,266,good movie year
1929,138,89.7391,6.37101,191,good movie year
1930,168,81.2143,6.14107,175,good movie year
1931,216,81.1065,6.34815,133,good movie year
1932,239,79.0418,6.44184,2983,good movie year
1933,251,79.8127,6.47371,1955,good movie year
1934,272,79.9669,6.34265,138,good movie year
1935,276,83.2246,6.42899,1259,good movie year
1936,280,84.5571,6.38357,180,good movie year
1937,295,86.8136,6.46542,1071,good movie year
1938,268,85.9813,6.45634,117,good movie year
1939,292,86.8801,6.55274,224,good movie year
1940,294,89.8163,6.50136,8558,good movie year
1941,297,89.3636,6.50774,137,good movie year
1942,291,85.8557,6.41959,134,good movie year
1943,267,89.9251,6.46816,171,good movie year
1944,259,89.6062,6.39344,2152,good movie year
1945,242,88.6694,6.5,409,good movie year
1946,268,89.9254,6.54403,131,good movie year
1947,289,92.9654,6.64983,230,good movie year
1948,324,92.966,6.63364,146,good movie year
1949,326,92.4387,6.62699,301,good movie year
1950,332,91.3494,6.59337,100,good movie year
1951,356,91.7331,6.51657,1626,good movie year
1952,371,92.6199,6.47493,516,good movie year
1953,396,89.3965,6.38535,161,good movie year
1954,355,94.062,6.39803,3199,good movie year
1955,388,95.5129,6.47268,275,good movie year
1956,383,94.4151,6.42037,1409,good movie year
1957,425,93.8353,6.37624,420,good movie year
1958,444,94.5495,6.37095,353,good movie year
1959,400,96.5925,6.36575,1059,good movie year
1960,404,100.698,6.49183,170,good movie year
1961,418,98.9976,6.34019,130,good movie year
1962,431,101.5128,6.48097,432,good movie year
1963,421,99.8931,6.51188,305,good movie year
1964,465,99.357,6.38022,2657,good movie year
1965,469,101.8955,6.38401,2374,good movie year
1966,483,99.7081,6.32526,139,good movie year
1967,529,99.518,6.26144,5606,good movie year
1968,569,99.7188,6.24675,261,good movie year
1969,557,99.614,6.19785,365,good movie year
1970,597,99.5008,6.15226,324,good movie year
1971,653,99.755,6.11991,1152,good movie year
1972,633,98.4692,6.11327,882,good movie year
1973,650,98.6554,6.11723,123,good movie year
1974,605,99.6314,6.12777,124,good movie year
1975,553,102.9186,6.17288,111,good movie year
1976,610,100.0262,6.11049,131,good movie year
1977,597,102.5913,6.15712,191,good movie year
1978,542,102.2011,6.13266,230,good movie year
1979,579,101.7997,6.11641,711,good movie year
1980,580,104.3672,6.11776,281,good movie year
1981,600,103.99,6.2085,277,good movie year
1982,628,102.2054,6.09968,535,good movie year
1983,621,101.3655,6.07585,234,good movie year
1984,634,101.5315,6.05915,354,good movie year
1985,689,101.9884,6.03498,375,good movie year
1986,761,99.3417,5.97622,208,good movie year
1987,822,99.1971,5.87348,170,ok movie year
1988,852,101.6526,5.84836,1850,ok movie year
1989,846,101.8723,5.88038,273,ok movie year
1990,762,103.4475,5.9357,1506,good movie year
1991,775,103.6761,6.01135,269,good movie year
1992,772,104.6697,6.00233,2362,good movie year
1993,818,105.2249,5.9555,212,good movie year
1994,858,104.1235,5.86865,1635,ok movie year
1995,937,102.5112,5.86553,135,ok movie year
1996,969,102.3705,5.84241,104,ok movie year
1997,1089,102.7043,5.8551,336,ok movie year
1998,1153,102.5655,5.85941,137,ok movie year
1999,1354,102.904,5.82947,4854,ok movie year
2000,1317,102.9787,5.80304,1082,ok movie year
2001,1429,102.6172,5.83653,75298,ok movie year
2002,1404,102.8932,5.87756,613,ok movie year
2003,1478,104.2821,5.78058,251,ok movie year
2004,1662,103.5788,5.82834,709,ok movie year
2005,1806,102.6633,5.77337,233,ok movie year
2006,2045,102.3188,5.69506,612,ok movie year
2007,2075,101.6458,5.73349,136,ok movie year
2008,2140,101.8294,5.67696,100,ok movie year
2009,2277,100.9513,5.65371,179,ok movie year
2010,2253,102.9095,5.65002,457,ok movie year
2011,2389,100.9146,5.63784,616,bad movie year
2012,2517,100.2471,5.64478,8802,bad movie year
2013,2749,101.4187,5.64136,131,bad movie year
2014,2851,101.6875,5.68702,106991,ok movie year
2015,2903,101.7888,5.63786,579,bad movie year
2016,3033,102.1273,5.69819,15911,ok movie year
2017,3106,102.7701,5.75979,121,ok movie year
2018,2880,104.6049,5.77167,5014,ok movie year
2019,1567,107.5341,5.99834,262,good movie year
